Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/19/2026 10:37:59,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Neutral,Neutral,Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Security,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Disagree,Neutral,Agree,Agree,Agree
3/19/2026 10:39:17,35 – 44,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Transparency ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/19/2026 10:42:55,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,"Accessibility, being able to walk into their branch just like a traditional bank ",Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
3/19/2026 10:43:40,25 – 34,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Neutral,Neutral,Agree,Neutral,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/19/2026 10:43:56,25 – 34,Prefer not to say,Employed (Part-time),Mostly stable – occasional variation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,Having clear information about how it works available online before I join,Recommendation from a friend or family member,No — it had no influence on my decision,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral
3/19/2026 11:39:06,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree
3/19/2026 12:25:53,35 – 44,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Agree,Neutral,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"transparency, able to see how my move moves and grows end to end, flexibilty and no hidden Ts $Cs or deductions.",Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Strongly Agree
3/19/2026 16:52:10,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,N/A,Workplace or community group,No — it had no influence on my decision,Strongly Disagree,Neutral,Neutral,Neutral,Neutral
3/21/2026 9:51:44,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Higher savings rates. more investment opportunities ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Agree,Strongly Agree,Agree,Agree,Agree
3/23/2026 13:15:46,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,Positive reviews and unrestricted access to funds,Recommendation from a friend or family member,No — it had no influence on my decision,Strongly Disagree,Strongly Agree,Agree,Agree,Agree
3/23/2026 13:24:02,25 – 34,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Positive reviews ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Strongly Agree
3/23/2026 13:32:50,35 – 44,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Strongly Disagree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",Limited knowledge delayed my adoption,What will improve my confidence in using digital savings platform is having strict securities measures  ,Other (please specify): ____________________________,No — it had no influence on my decision,Disagree,Agree,Neutral,Disagree,Agree
3/23/2026 13:35:20,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",Limited knowledge delayed my adoption,NIL,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Strongly Agree,Agree,Agree,Agree
3/23/2026 13:38:02,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Money ,Google / App Store search,No — it had no influence on my decision,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree
3/23/2026 13:40:32,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Neutral,Neutral,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I can’t think of anything right now.,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 13:41:52,25 – 34,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,Interest rate on my savings,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree
3/23/2026 13:42:24,25 – 34,Prefer not to say,Self-employed / Entrepreneur,Highly irregular – unpredictable income,Disagree,Neutral,Neutral,Neutral,Neutral,Good – I am comfortable with most financial concepts,"No, I still do not fully understand",Limited knowledge has prevented me from using certain features on the platform,TRUST,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 13:42:37,25 – 34,"Below ₦100,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Neutral,Neutral,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",Limited knowledge delayed my adoption,Interest rate/Tax,Workplace or community group,Yes — it was a minor factor,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree
3/23/2026 13:43:59,25 – 34,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Excellent – I am highly knowledgeable about financial products,"No, I still do not fully understand",I felt confident enough to join because of my financial knowledge,Nothing ,Financial influencer or content creator,No — it had no influence on my decision,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
3/23/2026 13:46:43,25 – 34,"₦100,000 – ₦250,000",Employed (Part-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Maximum security ,Google / App Store search,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 13:46:50,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Neutral,Agree,Neutral,Neutral,Neutral,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,Easy access ,Financial influencer or content creator,I am not sure,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 13:48:43,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,Clear info on data protection ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 13:48:54,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Diagree,Strongly disagree,Basic – I understand savings but not investments,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Knowing that my funds are well protected through strong security measures and proper regulation would make me feel safer,Google / App Store search,I am not sure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
3/23/2026 13:49:33,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,"Physical, accessible locations ",Recommendation from a friend or family member,Yes — it was a major factor,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
3/23/2026 13:50:12,25 – 34,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Agree,Agree,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,The User experience where transactions go through uninterrupted and minor or major issues are being processed and resolved easily via any means of reporting.,Recommendation from a friend or family member,I am not sure,Disagree,Neutral,Agree,Agree,Agree
3/23/2026 13:52:17,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,To have a work-in branches. ,Instagram / Twitter (X) / TikTok advertisement,I am not sure,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 14:01:50,25 – 34,Prefer not to say,Self-employed / Entrepreneur,Mostly stable – occasional variation,Agree,Agree,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,"No, but I learned after joining",I felt confident enough to join because of my financial knowledge,Credibility ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Agree,Agree,Neutral
3/23/2026 14:22:48,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"A wider reach/ customer base would make me more confident, knowing a company that big would not just pack up.",Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Neutral,Agree
3/23/2026 14:27:02,45 – 55,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Accurate measure and means of having an investment ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
3/23/2026 14:27:33,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"My confidence will improve most if I ‘m sure my money is safe ,easy to withdraw and the platform is transparent and reliable,esports with good reviews from other users and responsive customer support on platforms like cowrywise.",Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Neutral,Agree
3/23/2026 14:32:22,25 – 34,Prefer not to say,Student,Mostly stable – occasional variation,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly disagree,Basic – I understand savings but not investments,"No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,Trainings on investment ,Recommendation from a friend or family member,I am not sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 14:39:11,18 – 24,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Neutral,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,"It's safe,and the interest attached to it is reasonable.",Workplace or community group,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 14:46:26,25 – 34,"₦250,001 – ₦500,000",Employed (Part-time),Moderately irregular – varies month to month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Transparency. ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Strongly Disagree,Neutral,Agree,Agree,Agree
3/23/2026 14:47:35,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Neutral,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,the fact that it is being regulated by SEC,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Neutral,Agree,Agree
3/23/2026 14:48:27,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Neutral,Agree,Strongly Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,A very strong security system ,Recommendation from a friend or family member,Yes — it was a minor factor,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 14:50:06,25 – 34,"Below ₦100,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Strongly Agree,Agree,Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Positive recommendation ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Agree,Agree,Strongly Agree
3/23/2026 14:51:15,35 – 44,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Highly irregular – unpredictable income,Neutral,Neutral,Agree,Agree,Agree,Very poor – I know very little about financial products,"No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,May be time will tell,Google / App Store search,No — it had no influence on my decision,Neutral,Agree,Neutral,Neutral,Disagree
3/23/2026 14:53:11,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Neutral,Agree,Neutral,Strongly Diagree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Number of people using it,Workplace or community group,I am not sure,Neutral,Agree,Neutral,Neutral,Neutral
3/23/2026 14:58:44,18 – 24,"Below ₦100,000",Unemployed,Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge delayed my adoption,People's review mostly ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Agree,Agree,Agree,Agree,Strongly Agree
3/23/2026 15:05:04,18 – 24,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Strongly Diagree,Disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,I'm super confident ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree
3/23/2026 15:06:11,18 – 24,"Below ₦100,000",Unemployed,Highly irregular – unpredictable income,Agree,Agree,Agree,Neutral,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Investment,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 15:06:59,18 – 24,"Below ₦100,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Agree,Agree,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"No, but I learned after joining",I felt confident enough to join because of my financial knowledge,"“My confidence would improve if I have clear assurance that my money is secure, easy access to withdrawals, and transparency about how the platform works.”",Recommendation from a friend or family member,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 15:09:44,25 – 34,"Below ₦100,000",Employed (Full-time),Mostly stable – occasional variation,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Diagree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Testimonies/feedbacks,Google / App Store search,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 15:10:15,35 – 44,Prefer not to say,Self-employed / Entrepreneur,Highly irregular – unpredictable income,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"What will and still improve my confidence using cowrywise, is because I was told my funds will be credited to my account after 24hours withdrawal and that's exactly what was delivered. ",Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree
3/23/2026 15:13:46,25 – 34,"Below ₦100,000",Employed (Part-time),Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,There should be a well stated feature and parameters ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Agree,Agree,Neutral,Agree
3/23/2026 15:14:45,18 – 24,"Below ₦100,000",Student,Mostly stable – occasional variation,Neutral,Neutral,Neutral,Strongly Diagree,Agree,Good – I am comfortable with most financial concepts,"No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,Nothing ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Neutral,Neutral,Neutral
3/23/2026 15:16:49,18 – 24,"Below ₦100,000",Self-employed / Entrepreneur,Highly irregular – unpredictable income,Neutral,Neutral,Neutral,Neutral,Neutral,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,Limited knowledge delayed my adoption,I really don't know must about it ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 15:17:15,18 – 24,"₦100,000 – ₦250,000",Student,Mostly stable – occasional variation,Agree,Agree,Neutral,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Improved security ,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Strongly Agree,Strongly Agree,Agree
3/23/2026 15:18:08,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,Trust,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 15:21:51,18 – 24,Prefer not to say,Student,Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,How they take u through the process without hiding anything ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 15:25:26,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",Limited knowledge delayed my adoption,More understanding ,Google / App Store search,No — it had no influence on my decision,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral
3/23/2026 15:26:08,18 – 24,"Below ₦100,000",Student,Mostly stable – occasional variation,Neutral,Agree,Agree,Neutral,Neutral,Excellent – I am highly knowledgeable about financial products,"No, I still do not fully understand",I felt confident enough to join because of my financial knowledge,it is reliable,Recommendation from a friend or family member,I am not sure,Agree,Neutral,Neutral,Neutral,Agree
3/23/2026 15:26:25,35 – 44,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",Limited knowledge delayed my adoption,User friendly ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 15:30:06,25 – 34,"Below ₦100,000",Employed (Part-time),Very stable – same amount every month,Agree,Neutral,Neutral,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Strong regulation and transparency ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 15:31:31,18 – 24,"Below ₦100,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Because they are trustworthy ,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 15:32:13,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,Trust,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 15:34:45,25 – 34,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Agree,Agree,Agree,Neutral,Agree,Basic – I understand savings but not investments,"Yes, fully",Limited knowledge has prevented me from using certain features on the platform,Normal ,Recommendation from a friend or family member,Yes — it was a minor factor,Disagree,Agree,Agree,Agree,Agree
3/23/2026 15:35:45,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Passion,Recommendation from a friend or family member,Yes — it was a minor factor,Disagree,Disagree,Agree,Agree,Agree
3/23/2026 15:38:01,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge delayed my adoption,Flexibility,Google / App Store search,Yes — it was a major factor,Agree,Agree,Neutral,Agree,Agree
3/23/2026 15:39:17,18 – 24,Prefer not to say,Student,Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,My savings will be secured,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 15:45:46,18 – 24,Prefer not to say,Student,Moderately irregular – varies month to month,Neutral,Agree,Agree,Neutral,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,When my money is safe,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 15:49:23,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Moderately irregular – varies month to month,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Diagree,Strongly disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",Limited knowledge delayed my adoption,Publicity ,Recommendation from a friend or family member,Yes — it was a minor factor,Strongly Agree,Agree,Agree,Agree,Strongly Agree
3/23/2026 15:51:40,45 – 55,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,Govermentl Adequate Regulatory Policies Enforcement Agencies ,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree
3/23/2026 15:54:33,18 – 24,Prefer not to say,Student,Moderately irregular – varies month to month,Agree,Neutral,Neutral,Agree,Neutral,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",Limited knowledge delayed my adoption,Information ,Recommendation from a friend or family member,I am not sure,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 15:59:47,18 – 24,"Below ₦100,000",Self-employed / Entrepreneur,Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I wanted to try and see,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 16:01:34,18 – 24,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Assurance ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Agree,Agree,Strongly Agree
3/23/2026 16:09:19,25 – 34,"Below ₦100,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Strongly Diagree,Agree,Basic – I understand savings but not investments,"Yes, fully",I felt confident enough to join because of my financial knowledge,It has possibly influenced ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Disagree,Agree,Agree,Agree,Agree
3/23/2026 16:18:52,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Ability to save and get interest ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 16:33:09,45 – 55,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Agree,Agree,Agree,Agree,Agree,Basic – I understand savings but not investments,"No, I still do not fully understand",Limited knowledge has prevented me from using certain features on the platform,Thorough understanding on how to navigate,Workplace or community group,I am not sure,Agree,Agree,Agree,Neutral,Agree
