Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/23/2026 20:58:10,25 – 34,Prefer not to say,Unemployed,Highly irregular – unpredictable income,Agree,Agree,Strongly Agree,Neutral,Agree,Basic – I understand savings but not investments,"No, I still do not fully understand",Limited knowledge delayed my adoption,Nil,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 21:00:50,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Basic – I understand savings but not investments,"No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,Because is trusted and reliable ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 21:03:39,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Strongly Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"I believe the effectiveness, availability and reliability of the platform will increase my confidence in using Cowrywise",Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Strongly Agree,Agree,Agree
3/23/2026 21:06:41,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,Investment choices ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 21:21:14,18 – 24,"Below ₦100,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Neutral,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,It has improve my ability to save money,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 21:32:46,25 – 34,"Below ₦100,000",Student,Highly irregular – unpredictable income,Neutral,Neutral,Neutral,Neutral,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge delayed my adoption,More awareness of the platform ,Google / App Store search,Yes — it was a minor factor,Agree,Neutral,Neutral,Neutral,Neutral
3/23/2026 22:07:21,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Neutral,Agree,Strongly Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Because it is very safe,Recommendation from a friend or family member,I am not sure,Agree,Agree,Agree,Neutral,Agree
3/23/2026 22:08:53,25 – 34,"Below ₦100,000",Employed (Part-time),Moderately irregular – varies month to month,Neutral,Agree,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,It's legal and trustworthy.,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 22:51:52,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Neutral,Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,I would say one of the things that will improve my confidence in using digital savings platforms like Cowrywise is better security which simply mean that I will not have to worry about the app been hacked.,Financial influencer or content creator,Yes — it was a minor factor,Neutral,Neutral,Neutral,Agree,Neutral
3/24/2026 0:14:56,18 – 24,"Below ₦100,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,If they had physical onsite locations ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
